Time,Country_Name,Per_capita_GDP_rate,Per_capita_GDP,Gross_domestic_productA_at_market_prices,Population_growth_rate,Male_population,Female_population,Literacy_rate_male,Literacy_rate_female,Government_education_expenditure_as_a_percentage_of_GDP,Government_expenditure_on_secondary_and_higher_vocational_education_as_a_percentage_of_GDP,Total_population,Higher_education_enrollment,Higher_education_enrollment_rate,Educational_Fund ,Enrollment_Rate,Primary_school_to_university_total_enrollment_rate,Gross_enrolment_ratio
2013,Central African Republic,Low,300.48,1352053851,0.0021,0.4933,0.5067,0,0,0,0,4499653,0,0,Low,Low,0.26576918,0.01507538
2014,Central African Republic,Low,302.55,1366115455,0.0035,0.4933,0.5067,0,0,0,0,4515392,0,0,Low,Low,0.8389087,0.03015075
2005,Niger,Low,326.33,4444131751,0.0368,0.4982,0.5018,0.4057,0.1135,0,0,13618449,10799,0.0008,Low,Low,0.30109852,0.04522613
2007,Niger,Low,330.63,4849839715,0.0372,0.4989,0.5011,0,0,0.0402,0,14668338,10869,0.0007,Meddle,Low,0.32358345,0.06030151
2006,Niger,Low,332.71,4701891392,0.037,0.4985,0.5015,0,0,0.0333,0,14132064,11208,0.0008,Meddle,Low,0.7081363,0.07537688
2009,Niger,Low,333.69,5276949262,0.0377,0.4995,0.5005,0,0,0.0453,0,15813913,15992,0.001,High,Meddle,0.10025559,0.09045226
2011,Niger,Low,342.86,5850769296,0.0382,0.5001,0.4999,0,0,0.0421,0,17064636,18328,0.0011,Meddle,Meddle,0.47284794,0.10552764
2010,Niger,Low,348.15,5718589799,0.0379,0.4998,0.5002,0,0,0.0373,0,16425578,17096,0.001,Meddle,Meddle,0.93504152,0.12060302
2008,Niger,Low,349,5314826498,0.0375,0.4992,0.5008,0,0,0.0366,0,15228525,12823,0.0008,Meddle,Low,0.92786291,0.13567839
2012,Niger,Low,368.94,6541959480,0.0383,0.5003,0.4997,0.2109,0.0703,0.0433,0,17731634,21764,0.0012,Meddle,Meddle,0.34430909,0.15075377
2013,Niger,Low,373.74,6886614682,0.0384,0.5005,0.4995,0,0,0.0492,0.0029,18426372,0,0,High,High,0.32698923,0.16582915
2014,Niger,Low,386.73,7405110305,0.0384,0.5007,0.4993,0,0,0.0673,0.0039,19148219,0,0,High,High,1.18326676,0.18090452
2005,Afghanistan,Low,389.42,9762978844,0.0387,0.5173,0.4827,0,0,0,0,25070798,0,0,Low,Low,1.09737455,0.1959799
2006,Afghanistan,Low,397.99,10305228125,0.0323,0.5168,0.4832,0,0,0,0,25893450,0,0,Low,Low,1.0524482,0.21105528
2005,Central African Republic,Low,410.41,1694155506,0.0178,0.493,0.507,0,0,0.0164,0,4127910,0,0,Low,Low,1.21834768,0.22613065
2006,Central African Republic,Low,422.44,1774985113,0.0177,0.4931,0.5069,0,0,0.0142,0,4201758,4462,0.0011,Low,Low,0.72598334,0.24120603
2007,Central African Republic,Low,434.25,1856768170,0.0175,0.4932,0.5068,0,0,0.0131,0,4275800,0,0,Low,Low,0.74988758,0.25628141
2008,Central African Republic,Low,436.07,1894908620,0.0161,0.4933,0.5067,0,0,0.0129,0,4345386,9473,0.0022,Low,Low,1.16844364,0.27135678
2009,Central African Republic,Low,437.6,1927297142,0.0135,0.4933,0.5067,0,0,0.013,0,4404230,10427,0.0024,Low,Meddle,1.39940488,0.28643216
2007,Afghanistan,Low,440.37,11721187594,0.0276,0.5159,0.4841,0,0,0,0,26616792,0,0,Low,Low,1.252605,0.30150754
2008,Afghanistan,Low,444.95,12144482858,0.0251,0.5149,0.4851,0,0,0,0,27294031,0,0,Low,Low,0.99172987,0.31658291
2010,Central African Republic,Low,446.44,1986014846,0.01,0.4933,0.5067,0.5131,0.2318,0.012,0,4448525,11158,0.0025,Low,Low,1.18790738,0.33165829
